image_url,image_id,caption,error_type,model,f_all,f_attribute,f_object,f_relation,f_cardinality
http://images.cocodataset.org/train2017/000000184241.jpg,184241,a man sitting on a bench with a tennis racket,Cardinality,clipcap,0.5263,0.5,0.75,0.2857,0
http://images.cocodataset.org/train2017/000000130271.jpg,130271,a little girl holding a wii remote in her hand.,Cardinality,git,0.5,0.3636,0.6667,0.5,0
http://images.cocodataset.org/train2017/000000220688.jpg,220688,"a living room with a couch, coffee table, and a lamp.",Cardinality,git,0.3902,0.2857,0.5714,0.3077,0
http://images.cocodataset.org/train2017/000000299273.jpg,299273,"a living room with a couch, coffee table, tv and a window",Cardinality,clipcap,0.5,0.3333,0.7143,0.3333,0
http://images.cocodataset.org/train2017/000000534723.jpg,534723,a school bus parked in a parking lot,Cardinality,clipcap,0.5556,0.4444,0.6667,0.6667,0
http://images.cocodataset.org/train2017/000000449710.jpg,449710,a man holding a cell phone in his hand,Cardinality,clipcap,0.4516,0.4,0.5455,0.4,0
http://images.cocodataset.org/train2017/000000397819.jpg,397819,a blonde woman is brushing her teeth with a mirror.,Attribute,git,0.3333,0,0.5455,0.2667,0
http://images.cocodataset.org/train2017/000000137283.jpg,137283,a small slice of pizza in a box,Attribute,blip2,0.4545,0,0.8571,0.5714,
http://images.cocodataset.org/train2017/000000177254.jpg,177254,A plate of food with broccoli and fries.,Attribute,llava,0.3846,0,0.4615,0.3333,
http://images.cocodataset.org/train2017/000000102576.jpg,102576,A man wearing a white shirt and grey shorts is playing tennis on a clay court.,Attribute,llava,0.3333,0,0.5455,0.3333,
http://images.cocodataset.org/train2017/000000268787.jpg,268787,A large sandwich with lettuce and chocolate on top.,Attribute,llava,0.3871,0,0.5333,0.4,
http://images.cocodataset.org/train2017/000000397414.jpg,397414,A glazed doughnut sits on a napkin next to a cup of coffee.,Attribute,llava,0.381,0,0.6,0.3333,
http://images.cocodataset.org/train2017/000000246183.jpg,246183,A group of people are holding up blue and yellow umbrellas.,Attribute,llava,0.381,0,0.6,0.3333,
http://images.cocodataset.org/train2017/000000187511.jpg,187511,"A plate of food with broccoli, carrots, and fries.",Attribute,llava,0.3333,0,0.5,0.3077,
http://images.cocodataset.org/train2017/000000162280.jpg,162280,A bathroom with a white sink and a green shower curtain.,Attribute,llava,0.4242,0.4444,0.5,0.3333,
http://images.cocodataset.org/train2017/000000111121.jpg,111121,A young boy in blue uniform is pitching a baseball on a field.,Attribute,llava,0.375,0.1818,0.4615,0.5,
http://images.cocodataset.org/train2017/000000498427.jpg,498427,A black and white dog is playing with a yellow frisbee in the snow.,Attribute,llava,0.6364,0.5,0.8571,0.5714,
http://images.cocodataset.org/train2017/000000118379.jpg,118379,A black dog is laying on a stone walkway.,Attribute,llava,0.3636,0.2857,0.4444,0.3333,
http://images.cocodataset.org/train2017/000000512337.jpg,512337,A large bird is perched on a branch of a tree.,Attribute,llava,0.5263,0.4,0.75,0.3333,
http://images.cocodataset.org/train2017/000000220266.jpg,220266,A ginger cat is looking at its reflection in a mirror.,Attribute,llava,0.4138,0,0.6,0.4286,
http://images.cocodataset.org/train2017/000000407625.jpg,407625,A man wearing a jacket is sitting in a car.,Attribute,llava,0.4444,0,0.7273,0.3333,
